ds,yhat,company,model
1999-04-14,39.38471402171056,Amazon,Prophet
1999-04-15,40.64419700914359,Amazon,Prophet
1999-04-16,40.189612478308135,Amazon,Prophet
1999-04-19,45.27863093353347,Amazon,Prophet
1999-04-20,48.65923442906404,Amazon,Prophet
1999-04-21,50.66499633531088,Amazon,Prophet
1999-04-22,51.39007933868141,Amazon,Prophet
1999-04-23,50.30047628330426,Amazon,Prophet
1999-04-26,52.94616298285225,Amazon,Prophet
1999-04-27,55.3635372714851,Amazon,Prophet
1999-04-28,56.35097939311219,Amazon,Prophet
1999-04-29,56.016252239684206,Amazon,Prophet
1999-04-30,53.839981558400765,Amazon,Prophet
1999-05-03,53.22064360994698,Amazon,Prophet
1999-05-04,54.601227039487895,Amazon,Prophet
1999-05-05,54.60376574384857,Amazon,Prophet
1999-05-06,53.35072916409533,Amazon,Prophet
1999-05-07,50.33638267177562,Amazon,Prophet
1999-05-10,47.79887026627816,Amazon,Prophet
1999-05-11,48.76807405572482,Amazon,Prophet
1999-05-12,48.48280822386415,Amazon,Prophet
1999-05-13,47.06795672539571,Amazon,Prophet
1999-05-14,44.017889557459974,Amazon,Prophet
1999-05-17,42.09655968307031,Amazon,Prophet
1999-05-18,43.490374519451066,Amazon,Prophet
1999-05-19,43.72349135502479,Amazon,Prophet
1999-05-20,42.90879779817521,Amazon,Prophet
1999-05-21,40.527368641816764,Amazon,Prophet
1999-05-24,40.87687563287734,Amazon,Prophet
1999-05-25,43.06528304312597,Amazon,Prophet
1999-05-26,44.08668219415385,Amazon,Prophet
1999-05-27,44.0397119150531,Amazon,Prophet
1999-05-28,42.39220416515748,Amazon,Prophet
1999-06-01,47.313543316046726,Amazon,Prophet
1999-06-02,48.75489558037203,Amazon,Prophet
1999-06-03,49.04952282629928,Amazon,Prophet
1999-06-04,47.66504545728097,Amazon,Prophet
1999-06-07,50.249466288022425,Amazon,Prophet
1999-06-08,52.92203920303136,Amazon,Prophet
1999-06-09,54.3019752195484,Amazon,Prophet
1999-06-10,54.49602021284197,Amazon,Prophet
1999-06-11,52.983264013542424,Amazon,Prophet
1999-06-14,55.1388835514885,Amazon,Prophet
1999-06-15,57.69469246883866,Amazon,Prophet
1999-06-16,58.99018823646747,Amazon,Prophet
1999-06-17,59.14225292831524,Amazon,Prophet
1999-06-18,57.63874389368922,Amazon,Prophet
1999-06-21,60.191291084126924,Amazon,Prophet
1999-06-22,63.0130847001987,Amazon,Prophet
1999-06-23,64.64125480813891,Amazon,Prophet
1999-06-24,65.18919797713814,Amazon,Prophet
1999-06-25,64.13904469361024,Amazon,Prophet
1999-06-28,68.307960585569,Amazon,Prophet
1999-06-29,71.71530002232976,Amazon,Prophet
1999-06-30,73.92933975597279,Amazon,Prophet
1999-07-01,75.04804809746274,Amazon,Prophet
1999-07-02,74.53754717513586,Amazon,Prophet
1999-07-06,83.64212979076012,Amazon,Prophet
1999-07-07,86.00656310725587,Amazon,Prophet
1999-07-08,87.15770518883079,Amazon,Prophet
1999-07-09,86.55217505222143,Amazon,Prophet
1999-07-12,90.88290380871086,Amazon,Prophet
1999-07-13,93.8955318446184,Amazon,Prophet
1999-07-14,95.471090555422,Amazon,Prophet
